,Place of interest,Type of place,Place address,BiciMAD station,Station location
232,Colegio Público San Juan de la Cruz,Colegio Público,Calle Honduras 10,Pío XII,Avenida Pío XII 3
233,Colegio Público San Miguel,Colegio Público,Avenida Virgen Del Carmen 32,Pío XII,Avenida Pío XII 3
234,Colegio Público San Pablo,Colegio Público,Plaza Peña Morraz 1,Sierra Toledana,Camino de Valderribas 94
235,Colegio Público San Roque,Colegio Público,Calle Oxigeno 43,Glorieta de Cádiz,Calle Antonio López 129
236,Colegio Público Santa María,Colegio Público,Calle Casino 7,Ribera de Curtidores,Calle Ribera de Curtidores 28
237,Colegio Público Santo Domingo,Colegio Público,Calle San Feliu De Guixols 7,Pavones,Calle Hacienda de Pavones 342
238,Colegio Público Tirso de Molina,Colegio Público,Calle Bronce 1,Embajadores 191,Calle Sodio 1B
239,Colegio Público Tomás Bretón,Colegio Público,Calle Alejandro Dumas 4,Pirámides,Calle Toledo 181
240,Colegio Público Valdebernardo,Colegio Público,Calle Tren De Arganda 9,Pavones,Calle Hacienda de Pavones 342
241,Colegio Público Vasco Núñez de Balboa,Colegio Público,Calle Nuestra Señora De Valverde 149,Pedro Rico,Calle Pedro Rico 4
242,Colegio Público Vicálvaro,Colegio Público,Calle Forges 15,Pavones,Calle Hacienda de Pavones 342
243,Colegio Público Virgen del Cerro,Colegio Público,Calle Mohernando 1,Plaza del Encuentro,Calle Arroyo de las Pilillas 6
244,Colegio Público Virgen del Cortijo,Colegio Público,Avenida Manoteras 63,Manuel Caldeiro,Paseo de la Castellana 298
245,Colegio Público Vázquez de Mella,Colegio Público,Calle Bailen 18,Plaza de San Francisco,Plaza de San Francisco 5
246,Colegio Público Winston Churchill,Colegio Público,Avenida Gran Via Del Este 5,Pavones,Calle Hacienda de Pavones 342
247,Colegio Público de Practicas Asunción Rincón,Colegio Público,Avenida Filipinas 5,Parque Santander,Calle Santander esquina con Avenida de Filipinas
248,Colegio Público Álvaro de Bazan,Colegio Público,Calle Zurich 10,Pavones,Calle Hacienda de Pavones 342
