,Place of interest,Type of place,Place address
208,Colegio Público Regimiento Inmemorial del Rey,Colegio Público,Avenida Moratalaz 51
209,Colegio Público Reina Victoria,Colegio Público,Calle Principe De Vergara 61
210,Colegio Público República Dominicana,Colegio Público,Ronda Don Bosco 2
211,Colegio Público República de Brasil,Colegio Público,Avenida Fueros 34
212,Colegio Público República de Chile,Colegio Público,Calle Castillo De Ucles 28
213,Colegio Público República de Colombia,Colegio Público,Plaza Alloz 3
214,Colegio Público República de Ecuador,Colegio Público,Calle Valle De Oro 41
215,Colegio Público República de El Salvador,Colegio Público,Calle Sacedon 2
216,Colegio Público República de Panamá Nº 1,Colegio Público,Calle Peones 2
217,Colegio Público República de Paraguay,Colegio Público,Calle Manresa 60
218,Colegio Público República de Uruguay,Colegio Público,Avenida Nuestra Señora De Valvanera 120
219,Colegio Público República de Venezuela,Colegio Público,Calle Cerecinos 8
220,Colegio Público Rosa Luxemburgo,Colegio Público,Calle Bardegueral 16
221,Colegio Público Rufino Blanco,Colegio Público,Calle General Alvarez De Castro 46
222,Colegio Público Sagunto,Colegio Público,Calle Paterna 14
223,Colegio Público San Benito,Colegio Público,Calle Juan Perez Zuñiga 36
224,Colegio Público San Carlos,Colegio Público,Calle Villastar 8
225,Colegio Público San Cristóbal,Colegio Público,Calle Bravo Murillo 41
226,Colegio Público San Eugenio y San Isidro,Colegio Público,Calle Peñuelas 31
227,Colegio Público San Ignacio de Loyola,Colegio Público,Avenida Abrantes 1
228,Colegio Público San Ildefonso,Colegio Público,Calle Alfonso Vi 1
229,Colegio Público San Isidoro,Colegio Público,Calle Fuenterrabia 15
230,Colegio Público San Juan Bautista,Colegio Público,Calle Sorzano 1
231,Colegio Público San Juan Bosco,Colegio Público,Calle Santa Irene 2
232,Colegio Público San Juan de la Cruz,Colegio Público,Calle Honduras 10
233,Colegio Público San Miguel,Colegio Público,Avenida Virgen Del Carmen 32
234,Colegio Público San Pablo,Colegio Público,Plaza Peña Morraz 1
235,Colegio Público San Roque,Colegio Público,Calle Oxigeno 43
236,Colegio Público Santa María,Colegio Público,Calle Casino 7
237,Colegio Público Santo Domingo,Colegio Público,Calle San Feliu De Guixols 7
238,Colegio Público Tirso de Molina,Colegio Público,Calle Bronce 1
239,Colegio Público Tomás Bretón,Colegio Público,Calle Alejandro Dumas 4
240,Colegio Público Valdebernardo,Colegio Público,Calle Tren De Arganda 9
241,Colegio Público Vasco Núñez de Balboa,Colegio Público,Calle Nuestra Señora De Valverde 149
242,Colegio Público Vicálvaro,Colegio Público,Calle Forges 15
243,Colegio Público Virgen del Cerro,Colegio Público,Calle Mohernando 1
244,Colegio Público Virgen del Cortijo,Colegio Público,Avenida Manoteras 63
245,Colegio Público Vázquez de Mella,Colegio Público,Calle Bailen 18
246,Colegio Público Winston Churchill,Colegio Público,Avenida Gran Via Del Este 5
247,Colegio Público de Practicas Asunción Rincón,Colegio Público,Avenida Filipinas 5
248,Colegio Público Álvaro de Bazan,Colegio Público,Calle Zurich 10
