,Place of interest,Type of place,Place address,Latitude,Longitude
91,Colegio Público García Morente,Colegio Público,Ronda Sur 229,40.37336648575158,-3.665482524950977
92,Colegio Público Giner de los Ríos,Colegio Público,Calle Membezar 25,40.379529471156005,-3.6684765035279683
93,Colegio Público Gloria Fuertes,Colegio Público,Calle Censo 3,40.369311628795366,-3.7051368370067617
94,Colegio Público Gonzalo Fernández de Córdoba,Colegio Público,Calle Adanero 3,40.39414213700213,-3.7792987452696023
95,Colegio Público Gonzalo de Berceo,Colegio Público,Avenida Abrantes 5,40.38471221481113,-3.722003386269505
96,Colegio Público Guindalera,Colegio Público,Calle Boston 3,40.437285997697046,-3.6670202290755864
97,Colegio Público Gustavo Adolfo Bécquer,Colegio Público,Calle Santa Genoveva 32,40.42401892228641,-3.6490417567786837
98,Colegio Público Haití,Colegio Público,Calle Guabairo 22,40.38607118178492,-3.7463468868792895
99,Colegio Público Hermanos Pinzón,Colegio Público,Calle Azor 4,40.398581785882875,-3.7688034732056224
100,Colegio Público Hernán Cortés,Colegio Público,Calle Los Yebenes 241,40.391183407465824,-3.7512812696024738
101,Colegio Público Honduras,Colegio Público,Paseo Federico Garcia Lorca 19,40.377750319496414,-3.6207727531375826
102,Colegio Público Hortaleza,Colegio Público,Calle Valdetorres De Jarama 1,40.47244065719513,-3.647738240999276
103,Colegio Público Ignacio Zuloaga,Colegio Público,Calle Alejandro Rodriguez 34,40.456254963753004,-3.711505537451778
104,Colegio Público Infanta Leonor,Colegio Público,Calle Monasterio De El Paular 140,40.499669521430285,-3.7114329556023478
105,Colegio Público Isaac Albéniz,Colegio Público,Calle Dracena 29,40.46422875441015,-3.6691267410574406
106,Colegio Público Isaac Peral,Colegio Público,Glorieta Rufino Novalvos 5,40.38629580500656,-3.7309272123026656
107,Colegio Público Isabel la Católica,Colegio Público,Calle Barcelo 2,40.426642215368176,-3.699722994908341
108,Colegio Público Jaime Balmes,Colegio Público,Calle Sierra De La Solana 2,40.3879037093727,-3.6707625153722523
109,Colegio Público Jaime Vera,Colegio Público,Calle Bravo Murillo 162,40.45247841346628,-3.702962807620527
110,Colegio Público Javier de Miguel,Colegio Público,Calle Javier De Miguel 90,40.38617971853788,-3.657208307609012
111,Colegio Público Joaquín Costa,Colegio Público,Paseo Pontones 8,40.40555135378083,-3.7145657673590473
112,Colegio Público Joaquín Dicenta,Colegio Público,Paseo Olivos 70,40.40563593391012,-3.7383841619985705
113,Colegio Público Joaquín Turina,Colegio Público,Calle Arturo Soria 332,40.480641242461274,-3.66632834447267
114,Colegio Público Jorge Guillén,Colegio Público,Avenida El Ferrol 47,40.47531422517472,-3.7077074438048214
115,Colegio Público Jorge Manrique,Colegio Público,Plaza Pintor Lucas 17,40.38810858515369,-3.710375518289677
116,Colegio Público Josep Tarradellas,Colegio Público,Calle Triacastela 1,40.50973426099199,-3.670452271301756
117,Colegio Público José Bergamín,Colegio Público,Calle Braille 19,40.495510999757265,-3.6960480794830053
118,Colegio Público José Calvo Sotelo,Colegio Público,Avenida Ciudad De Barcelona 83,40.4008413126834,-3.6737662524006756
119,Colegio Público José María de Pereda,Colegio Público,Calle Mestanza 94,40.381834618749636,-3.6748845263872902
120,Colegio Público José Ortega y Gasset,Colegio Público,Calle Orense 87,40.461603417432755,-3.6942000296394557
121,Colegio Público José de Echegaray,Colegio Público,Calle Puentedey 14,40.368261154491805,-3.614501949365195
122,Colegio Público Jovellanos,Colegio Público,Calle Monroy 34,40.379270096494,-3.783014879023733
123,Colegio Público Juan Gris,Colegio Público,Calle Muela De San Juan 31,40.372633463040025,-3.6173451376298167
124,Colegio Público Juan Ramón Jiménez,Colegio Público,Calle Marques De Viana 58,40.46327856245691,-3.7032287227178435
125,Colegio Público Juan Sebastián Elcano,Colegio Público,Calle Mirasierra 29,40.38904382319174,-3.704765272620041
126,Colegio Público Juan Zaragüeta,Colegio Público,Calle Via De Los Poblados 19,40.47210978701385,-3.631007402473766
127,Colegio Público Juan de la Cierva,Colegio Público,Calle Villarrosa 7,40.354436009188994,-3.690461923731924
128,Colegio Público Julián Besteiro,Colegio Público,Avenida Abrantes 79,40.38059274136839,-3.7281206806824976
129,Colegio Público Julián Marías,Colegio Público,Calle Budapest 11,40.42714432750662,-3.6025767698118516
130,Colegio Público La Alameda,Colegio Público,Calle Musas 9,40.43753723503757,-3.6084115811852313
131,Colegio Público La Dehesa del Príncipe,Colegio Público,Paseo Lanceros 4,40.37977209501616,-3.7939529685128695
