,BiciMAD station,Station location,Coordinates
130,128 - Cea Bermúdez,Calle Cea Bermúdez nº 59,"[-3.7154329, 40.438994]"
131,129 - José Abascal,Calle José Abascal nº 33,"[-3.6982353, 40.4383865]"
132,130 - Santa Engracia 127,Calle Santa Engracia nº 127,"[-3.70164, 40.44156]"
133,131 - Bravo Murillo 44,Calle Bravo Murillo nº 44,"[-3.7040344, 40.4418402]"
134,132 - Glorieta de los Cuatro Caminos,Calle Santa Engracia nº 168,"[-3.7036675, 40.4463667]"
135,133 - Raimundo Fernández,Calle Raimundo Fernández Villaverde nº 33,"[-3.7001669, 40.447125]"
136,134 - Agustín de Betancourt,Calle María de Guzmán nº 58,"[-3.6956047, 40.4440297]"
137,135 - Plaza de San Juan de la Cruz,Plaza de San Juan de la Cruz nº 11,"[-3.6927821, 40.4415974]"
138,136 - Castellana 106,Paseo de la Castellana nº 106,"[-3.690861, 40.4453307]"
139,137 - Plaza de la República Argentina,Plaza de la República Argentina nº 6,"[-3.6853312, 40.445411]"
140,138 - Paseo de la Castellana con Raimundo Fernández,Paseo de la Castellana esquina calle Raimundo Fernández Villaverde,"[-3.6917932, 40.4457414]"
141,139 - José Gutiérrez Abascal ,Calle José Gutiérrez Abascal nº 2,"[-3.6907784, 40.4396792]"
142,140 - Velázquez 130,Calle Velázquez nº 130,"[-3.6831578, 40.4385127]"
143,141 - Paseo de la Castellana - Glorieta de Emilio Castelar,Paseo de la Castellana nº 43,"[-3.6892368, 40.4355143]"
144,142 - Castellana 42,Paseo de la Castellana nº 42,"[-3.6879154, 40.4334087]"
145,143 - Diego de León 52,Calle Diego de León nº 52,"[-3.678492, 40.4345973]"
146,144 - Juan Bravo 50,Calle Juan Bravo nº 50,"[-3.6758555, 40.4323655]"
147,145 - Ortega y Gasset 87,Calle Ortega y Gasset nº 87,"[-3.6712823, 40.429887]"
148,146 - María Francisca 1,Calle María Francisca nº 1,"[-3.6787169, 40.4442258]"
149,147 - Doctor Arce 45,Avenida del Doctor Arce nº 45,"[-3.6797296, 40.4483269]"
150,148 - Serrano 210,Calle Serrano nº 210,"[-3.6817962, 40.4510188]"
151,149 - Paseo de la Habana 42,Paseo de la Habana nº 42,"[-3.6881689, 40.4498613]"
152,150 - Castellana frente a Hermanos Pinzón,Paseo de la Castellana nº 122,"[-3.6905604, 40.4488924]"
153,151 - Orense 12,Calle Orense nº 12,"[-3.6952943, 40.4489101]"
154,152 - General Perón 1,Avenida del General Perón frente al nº 4,"[-3.6990077, 40.4527164]"
155,153 - General Perón con Poeta Joan Maragall,Avenida del General Perón frente al nº 36,"[-3.693085, 40.4522454]"
156,154 - Orense 36,Calle Orense nº 36,"[-3.6946218, 40.4548456]"
157,155 - San Germán 57,Calle San Germán nº 57,"[-3.7009675, 40.4572824]"
158,156 - Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz nº 2,"[-3.691533, 40.4592351]"
159,157 - Castellana 164,Paseo de la Castellana nº 164,"[-3.6894151, 40.4591366]"
160,158 - Alberto Alcocer,Avenida de Alberto Alcocer nº 22,"[-3.684715, 40.4585318]"
161,159 - Paseo de la Habana 63,Paseo de la Habana nº 63,"[-3.6835926, 40.4543852]"
162,160 - Colombia,Calle Colombia nº 7,"[-3.6763439, 40.4572466]"
163,161 - Paseo de la Florida,Paseo de la Florida nº 8,"[-3.7224983, 40.4219665]"
164,162 - Metro Pirámides,Paseo de los Olmos nº 28,"[-3.7108108, 40.4034076]"
165,163 - Paseo de la Esperanza,Paseo de la Esperanza nº 2,"[-3.7064516, 40.4035988]"
166,164 - Paseo de las Delicias,Paseo de las Delicias nº 92,"[-3.6945025, 40.3972616]"
167,165 - Entrada Matadero,Paseo de la Chopera nº 14,"[-3.6975708, 40.3928821]"
