,BiciMAD station,Station location,Latitude,Longitude
155,General Perón con Poeta Joan Maragall,Avenida del General Perón frente al 36,40.4522454,-3.693085
156,Orense 36,Calle Orense 36,40.4548456,-3.6946218
157,San Germán 57,Calle San Germán 57,40.4572824,-3.7009675
158,Sor Ángela de la Cruz,Calle Sor Ángela de la Cruz 2,40.4592351,-3.691533
159,Castellana 164,Paseo de la Castellana 164,40.4591366,-3.6894151
160,Alberto Alcocer,Avenida de Alberto Alcocer 22,40.4585318,-3.684715
161,Paseo de la Habana 63,Paseo de la Habana 63,40.4543852,-3.6835926
162,Colombia,Calle Colombia 7,40.4572466,-3.6763439
163,Paseo de la Florida,Paseo de la Florida 8,40.4219665,-3.7224983
164,Metro Pirámides,Paseo de los Olmos 28,40.4034076,-3.7108108
165,Paseo de la Esperanza,Paseo de la Esperanza 2,40.4035988,-3.7064516
166,Paseo de las Delicias,Paseo de las Delicias 92,40.3972616,-3.6945025
167,Entrada Matadero,Paseo de la Chopera 14,40.3928821,-3.6975708
168,Segovia 26,Calle Segovia 26,40.4138333,-3.7135833
169,Segovia 45,Calle Segovia 45,40.413736,-3.717487
170,Batalla del Salado,Paseo Santa María de la Cabeza 29,40.4044722,-3.6959166
171,Pirámides,Calle Toledo 181,40.4016111,-3.7138055
172,Paseo de la Esperanza,Paseo de la Esperanza 21,40.401,-3.7043611
173,Embajadores-Cáceres,Calle Embajadores 101,40.39975,-3.6983888
174,Delicias,Calle Bustamante 1,40.4008888,-3.6935833
175,Puente Praga,Paseo de la Esperanza 59,40.3981798,-3.7023918
176,Madrid Río-Yeserías,Paseo de Yeserías 45,40.3974444,-3.7065277
177,Jaime el Conquistador,Calle Jaime el Conquistador 30,40.3962222,-3.6983055
178,Beata,Calle Alicante 3,40.39425,-3.6937222
179,Legazpi,Calle Bolívar 3,40.3914722,-3.6941944
180,Junta Municipal Retiro,Calle León Gil de Palacio 3,40.4029202,-3.6788343
181,Puente de Vallecas,Avenida de la Albufera 6,40.3979722,-3.66925
182,Méndez Álvaro,Calle Retama 5,40.3941388,-3.6758888
183,Retiro-Ibiza,Calle Ibiza 18,40.41825,-3.6766111
184,Parque Roma,Calle Alcalde Sáinz de Baranda frente al 107,40.4186666,-3.6657777
185,Doctor Esquerdo-Hermosilla,Calle Hermosilla 135,40.425635,-3.669339
186,Marqués de Zafra,Paseo Marqués de Zafra 24,40.426,-3.6653055
187,Quinta Fuente del Berro,Calle Sancho Dávila esquina Paseo Marqués de Zafra,40.4250833,-3.6615277
188,General Pardiñas,Calle General Pardiñas 56,40.4290555,-3.6782777
189,Alcalá-Ventas,Calle Alejandro González 1,40.4301666,-3.6638888
190,Puente de Ventas,Avenida de Daroca 2,40.4311944,-3.6590555
191,Avenida Donostiarra,Calle Virgen de la Alegría 18,40.4351256,-3.6554918
192,Velázquez-Diego de León,Calle Velázquez 91,40.4343333,-3.6835833
193,Diego de león,Calle Alonso Heredia 1,40.4346388,-3.674
194,Avenida de los Toreros,Avenida de los Toreros 3,40.4318611,-3.6714166
195,Ventas,Avenida de los Toreros 49,40.4324722,-3.6655555
196,Avenida de América 2,Calle Francisco Silvela 86,40.43725,-3.6772222
197,Avenida de América 1,Calle Padre Indalecio Hernández 1,40.4392222,-3.6754444
198,Prosperidad,Calle Suero de Quiñones 2,40.4441388,-3.6751388
199,Parque Berlín,Avenida de Concha Espina 34,40.4515833,-3.6780555
200,Rubén Darío,Glorieta Rubén Darío 2,40.4331111,-3.6915555
201,Fernando el Católico,Calle Fernando el Católico 61,40.4343611,-3.7149166
202,Quevedo,Glorieta de Quevedo 5,40.4336944,-3.7046666
203,Canal,Calle José Abascal frente al 2,40.4386944,-3.7038333
204,Parque Santander,Calle Santander esquina con Avenida de Filipinas,40.4411388,-3.7080833
205,San Francisco de Sales,Calle General Ampudia 2,40.44175,-3.7144722
206,Cuatro Caminos 2,Calle Doctor Santero 1,40.4476666,-3.7041666
207,Estrecho,Calle Navarra 1,40.4535,-3.7032777
208,Metro Tetuán,Calle Marqués de Viana 3,40.4607502,-3.6989925
209,Remonta,Calle Azucenas 1,40.4630277,-3.6973333
210,Plaza de Castilla,Paseo de la Castellana 216,40.4663611,-3.6886388
211,Plaza de Castilla 2,Paseo Castellana (Fundación Canal),40.4656779,-3.6887722
212,Tres Cruces,Calle Tres Cruces 7,40.419674,-3.7026735
213,Desengaño,Calle Desengaño 1,40.42059,-3.70239
214,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
215,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
216,Condesa de Venadito,Calle Condesa de Venadito 2,40.44315,-3.65741
217,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
218,Puerta del Ángel,Plaza Puerta del Ángel 4,40.413764,-3.728318
219,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
220,Camino Vinateros,Calle Camino de los Vinateros 28,40.41053,-3.65779
221,Marroquina,Calle Camino de los Vinateros 108,40.408264,-3.646697
222,Plaza del Encuentro,Calle Arroyo de las Pilillas 6,40.40617,-3.65122
223,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
224,Antonio López,Calle Eugenio Caxes frente al 12,40.3917871,-3.7026789
225,Ermita Santo,Paseo de la Ermita del Santo 48,40.406837862773465,-3.7244893989507686
226,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
227,Doctor Lozano,Calle Sierra Toledana 33,40.40248333540473,-3.660188083470652
228,Sierra Toledana,Camino de Valderribas 94,40.39901531507069,-3.6607768678037744
229,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
230,San Delfín,Calle San Delfín 9,40.39440607959559,-3.7080429728445563
231,C.D. Concepción,Calle Jose del Hierro 5,40.43715089959262,-3.64835857929032
232,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
233,Derechos Humanos,Calle Derechos Humanos 12,40.43965673033275,-3.6557656204708775
234,José María Pereda,Calle José María de Pereda 1,40.43272086245887,-3.6485306152875148
235,Marqués de Corbera 12,Avenida Marqués de Corbera 12,40.422962108947424,-3.6555552857442697
236,Marqués de Corbera 52,Avenida Marqués de Corbera 52,40.426207143200884,-3.651034981803642
237,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
238,Paseo Imperial,Paseo Imperial 20,40.40765396169372,-3.7172213778842007
239,Pablo Iglesias,Calle Francisco Balseiro 1,40.451333,-3.710525
240,San Germán 5,Calle San Germán 5,40.45619382579544,-3.6929376751795306
241,Francos Rodríguez,Calle Francos Rodríguez 62,40.45673408797698,-3.708002730875242
242,Avenida Brasilia,Avenida de Brasilia frente al 9,40.43666,-3.66096
243,Camilo José Cela,Avenida de Camilo José Cela 23,40.4378,-3.66779
244,Avenida Bruselas,Avenida Bruselas 56,40.43865,-3.66301
245,Cartagena,Calle Cartagena 34,40.43503,-3.67012
246,Hospital Clínico,Calle Isaac Peral 44,40.44003,-3.71757
247,Galileo,Calle Galileo 63,40.4364,-3.71019
248,Santa Engracia 87,Calle Santa Engracia 87,40.43604,-3.69928
249,Zurbano,Calle Zurbano 90,40.43837,-3.69281
250,Torre Cepsa,Calle Sinesio Delgado 2,40.47435,-3.68797
251,Manuel Caldeiro,Paseo de la Castellana 298,40.47938,-3.68532
252,Serrano 113,Calle Serrano 113B,40.44106,-3.68609
253,Corazón de María,Calle Santa Hortensia 31,40.44421,-3.66683
254,Chamartín,Calle Rodríguez Jaén 40,40.4716,-3.68391
255,Doctor Fleming,Calle Doctor Fleming 7,40.45546,-3.68844
256,Pío XII,Avenida Pío XII 3,40.46041,-3.67712
257,López Pozas,Calle General López Pozas 2,40.46361,-3.68514
258,Reina Victoria,Calle Beatriz de Bobadilla frente al 2,40.44635,-3.71383
259,INEF,Avenida Juan de Herrera frente a la calle Paul Guinard,40.43896,-3.72997
260,Ciudad Universitaria 1,Avenida de la Complutense (Metro Ciudad Universitaria),40.44375,-3.72699
261,Ciudad Universitaria 2,Avenida de la Complutense (Metro Ciudad Universitaria),40.44342,-3.72693
262,Facultad Biología,Calle José Antonio Novais frente al 12,40.4483322,-3.7272945
263,Facultad Derecho,Avenida Complutense 23,40.45109,-3.72937
