Place of interest,Type of place,Place address,BiciMAD station,Station location
Colegio Público Azorín,Colegio Público,Calle Godella 57,Embajadores 191,Calle Sodio 1B
Colegio Público Barcelona,Colegio Público,Avenida La Verbena De La Paloma 14,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Blas de Lezo,Colegio Público,Calle Fromista 27,Pedro Rico,Calle Pedro Rico 4
Colegio Público Blas de Otero,Colegio Público,Calle Puentelarra 34,Pavones,Calle Hacienda de Pavones 342
Colegio Público Bolivia,Colegio Público,Calle Villavaliente 29,Caramuel,Calle Caramuel 51
Colegio Público Bravo Murillo,Colegio Público,Calle Islas Cies 11,Francos Rodríguez,Calle Francos Rodríguez 62
Colegio Público Breogán,Colegio Público,Calle Ginzo De Limia 2,Remonta,Calle Azucenas 1
Colegio Público Calderón de la Barca,Colegio Público,Calle Calderon 2,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Camilo José Cela,Colegio Público,Calle Melchor Fernandez Almagro 22,Pedro Rico,Calle Pedro Rico 4
Colegio Público Capitán Cortés,Colegio Público,Calle Monseñor Oscar Romero 17,Marqués de Vadillo,Glorieta Marqués de Vadillo 9
Colegio Público Cardenal Herrera Oria,Colegio Público,Calle Fermin Caballero 68,Pedro Rico,Calle Pedro Rico 4
Colegio Público Carlos Sáinz de los Terreros,Colegio Público,Calle Cartama 1,Pavones,Calle Hacienda de Pavones 342
Colegio Público Carlos V,Colegio Público,Calle Virgen Del Val 3,Avenida Donostiarra,Calle Virgen de la Alegría 18
Colegio Público Carmen Cabezuelo,Colegio Público,Calle Cangas De Onis 7,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Carmen Laforet,Colegio Público,Calle Titanio 16,Pavones,Calle Hacienda de Pavones 342
Colegio Público Cervantes,Colegio Público,Calle Raimundo Fernandez Villaverde 4,Glorieta de los Cuatro Caminos,Calle Santa Engracia 168
Colegio Público Ciudad Pegaso,Colegio Público,Avenida Septima 12,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Ciudad de Badajoz,Colegio Público,Calle Fray Jose Cerdeiriña 51,Caramuel,Calle Caramuel 51
Colegio Público Ciudad de Córdoba,Colegio Público,Calle Lillo 1,Glorieta de Cádiz,Calle Antonio López 129
Colegio Público Ciudad de Guadalajara,Colegio Público,Calle Bergantin 13,Gutierre de Cetina,Calle Gutierre de Cetina 77
Colegio Público Ciudad de Jaén,Colegio Público,Calle Madre Rosa Blanco 3,Glorieta de Cádiz,Calle Antonio López 129
