,BiciMAD station,Station location,Latitude,Longitude
150,Plaza del Encuentro,Calle Arroyo de las Pilillas 6,40.40617,-3.65122
151,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
152,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
153,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
154,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
155,Paseo Imperial,Paseo Imperial 20,40.40765396169372,-3.7172213778842007
156,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
157,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
158,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
159,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
160,Atocha B,Paseo de la Infanta Isabel 3,40.4074902,-3.6901234
161,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
162,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
163,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
164,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
165,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
166,Beata,Calle Alicante 3,40.39425,-3.6937222
167,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
168,Facultad Derecho,Avenida Complutense 23,40.45109,-3.72937
169,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
170,Chamartín,Calle Rodríguez Jaén 40,40.4716,-3.68391
171,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
172,Retiro-Ibiza,Calle Ibiza 18,40.41825,-3.6766111
173,C.D. Concepción,Calle Jose del Hierro 5,40.43715089959262,-3.64835857929032
174,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
175,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
176,Plaza de los Carros,Carrera de San Francisco 1,40.4114041,-3.7114762
177,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
178,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
179,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
180,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
181,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
182,Corazón de María,Calle Santa Hortensia 31,40.44421,-3.66683
183,Almadén,Calle Almadén 28,40.4108472,-3.693225
184,Concordia,Calle Arroyo del Olivar 6,40.39382977920336,-3.6659362429356372
185,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
186,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
187,Marroquina,Calle Camino de los Vinateros 108,40.408264,-3.646697
188,Velázquez 130,Calle Velázquez 130,40.4385127,-3.6831578
189,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
190,San Delfín,Calle San Delfín 9,40.39440607959559,-3.7080429728445563
191,San Andrés,Calle San Andrés 18,40.4269483,-3.7035918
192,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
193,Pío XII,Avenida Pío XII 3,40.46041,-3.67712
194,María Francisca 1,Calle María Francisca 1,40.4442258,-3.6787169
195,Méndez Álvaro,Calle Retama 5,40.3941388,-3.6758888
196,Ventura Rodríguez,Calle Duque de Liria,40.4260957,-3.713479
197,San Delfín,Calle San Delfín 9,40.39440607959559,-3.7080429728445563
198,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
199,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
200,Pavones,Calle Hacienda de Pavones 342,40.400368,-3.634587
201,Remonta,Calle Azucenas 1,40.4630277,-3.6973333
202,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
203,Serrano 113,Calle Serrano 113B,40.44106,-3.68609
204,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
205,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
206,Carlota O’Neill,Calle Carlota O'Neill 32,40.44370542379883,-3.648958444298144
207,Marroquina,Calle Camino de los Vinateros 108,40.408264,-3.646697
208,Camino Vinateros,Calle Camino de los Vinateros 28,40.41053,-3.65779
209,Diego de León 52,Calle Diego de León 52,40.4345973,-3.678492
210,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
211,Embajadores 191,Calle Sodio 1B,40.389258643579105,-3.6903589643353483
212,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
213,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
214,Marqués de Vadillo,Glorieta Marqués de Vadillo 9,40.398247,-3.716591
215,Glorieta de Cádiz,Calle Antonio López 129,40.38895,-3.70017
216,Gutierre de Cetina,Calle Gutierre de Cetina 77,40.429706,-3.640994
217,Pedro Rico,Calle Pedro Rico 4,40.481086,-3.688463
218,Caramuel,Calle Caramuel 51,40.40913630273305,-3.728533714316331
219,San Delfín,Calle San Delfín 9,40.39440607959559,-3.7080429728445563
220,Facultad Derecho,Avenida Complutense 23,40.45109,-3.72937
221,Canal,Calle José Abascal frente al 2,40.4386944,-3.7038333
